county_code,district_code,school_code,filler,test_year,subgroup_id,test_type,total_caaspp_enrollment,total_tested_at_entity_level,total_tested_at_subgroup_level,grade,test_id,caaspp_reported_enrollment,students_tested,percent_tested,mean_scale_score,percentage_standard_exceeded,percentage_standard_met,percentage_standard_met_and_above,percentage_standard_nearly_met,percentage_standard_not_met,students_with_scores,area_1_percentage_above_standard,area_1_percentage_at_or_near_standard,area_1_percentage_below_standard,area_2_percentage_above_standard,area_2_percentage_at_or_near_standard,area_2_percentage_below_standard,area_3_percentage_above_standard,area_3_percentage_at_or_near_standard,area_3_percentage_below_standard,area_4_percentage_above_standard,area_4_percentage_at_or_near_standard,area_4_percentage_below_standard,state_id
1,"","",,2015,31,B,134777,130909,59761,4,2,17437,7950,45.6,2426.7,6,16,21,36,43,7947,11,28,61,9,42,49,10,39,52,0,0,0,01000000000000
1,"","",,2015,31,B,134777,130909,59761,5,1,17365,7568,43.6,2455.4,8,23,31,23,46,7564,11,38,51,13,41,46,8,59,33,17,55,28,01000000000000
1,"","",,2015,31,B,134777,130909,59761,5,2,17365,7621,43.9,2455.5,8,12,21,28,51,7616,12,27,61,8,35,57,8,42,50,0,0,0,01000000000000
1,"","",,2015,31,B,134777,130909,59761,6,2,17089,7662,44.8,2471.2,7,13,20,31,49,7653,11,28,61,8,43,49,8,48,43,0,0,0,01000000000000
1,"","",,2015,31,B,134777,130909,59761,6,1,17089,7581,44.4,2479.0,6,22,28,31,41,7569,8,41,51,11,44,44,8,65,27,14,60,26,01000000000000
1,"","",,2015,31,B,134777,130909,59761,7,1,16462,7342,44.6,2501.6,6,24,30,27,42,7335,9,40,49,15,45,39,7,60,32,13,53,33,01000000000000
1,"","",,2015,31,B,134777,130909,59761,7,2,16462,7453,45.3,2489.4,8,15,23,29,47,7446,14,29,57,10,46,45,10,66,24,0,0,0,01000000000000
1,"","",,2015,31,B,134777,130909,59761,8,1,16509,7181,43.5,2523.0,6,25,31,32,36,7178,13,43,43,13,49,37,7,61,31,14,55,31,01000000000000
1,"","",,2015,31,B,134777,130909,59761,8,2,16509,7376,44.7,2500.9,10,12,22,25,53,7369,14,28,58,10,49,40,11,49,40,0,0,0,01000000000000
1,"","",,2015,31,B,134777,130909,59761,11,2,15793,5850,37.0,2528.3,7,14,21,23,56,5831,14,28,57,9,45,44,10,56,34,0,0,0,01000000000000
1,"","",,2015,31,B,134777,130909,59761,11,1,15793,5823,36.9,2559.4,14,30,44,27,28,5785,20,51,27,21,45,31,12,60,26,25,51,22,01000000000000
1,"","",,2015,31,B,134777,130909,59761,13,1,118342,51434,43.5,"",8,22,29,27,43,51359,11,41,48,13,44,43,8,60,31,14,52,32,01000000000000
1,"","",,2015,31,B,134777,130909,59761,13,2,118342,52041,44.0,"",7,15,22,29,49,51987,12,29,58,9,43,48,9,51,40,0,0,0,01000000000000
1,"","",,2015,74,B,134777,130909,14634,3,2,17687,1862,10.5,2370.5,4,15,19,25,55,1862,9,29,61,8,35,57,7,47,47,0,0,0,01000000000000
1,"","",,2015,74,B,134777,130909,14634,3,1,17687,1845,10.4,2360.3,6,13,19,25,56,1842,7,33,60,6,38,56,6,56,38,7,43,49,01000000000000
1,"","",,2015,74,B,134777,130909,14634,4,1,17437,1721,9.9,2397.7,7,13,20,18,62,1721,8,34,57,7,38,54,5,56,39,6,42,47,01000000000000
1,"","",,2015,74,B,134777,130909,14634,4,2,17437,1730,9.9,2410.2,3,13,16,32,52,1728,7,25,69,6,36,58,6,33,61,0,0,0,01000000000000
1,"","",,2015,74,B,134777,130909,14634,5,2,17365,1785,10.3,2435.9,5,9,14,25,61,1783,8,22,71,6,29,66,6,36,59,0,0,0,01000000000000
1,"","",,2015,74,B,134777,130909,14634,5,1,17365,1790,10.3,2440.1,7,18,25,21,54,1789,9,33,59,10,37,53,6,54,40,14,54,33,01000000000000
1,"","",,2015,74,B,134777,130909,14634,6,1,17089,1806,10.6,2464.5,5,17,22,30,48,1804,7,35,58,9,39,52,7,60,32,11,58,31,01000000000000
1,"","",,2015,74,B,134777,130909,14634,6,2,17089,1827,10.7,2448.1,4,9,13,28,58,1825,6,24,69,5,35,60,5,42,52,0,0,0,01000000000000
1,"","",,2015,74,B,134777,130909,14634,7,1,16462,1791,10.9,2484.1,3,21,24,26,50,1787,7,39,53,11,42,47,5,57,38,10,49,41,01000000000000
1,"","",,2015,74,B,134777,130909,14634,7,2,16462,1814,11.0,2463.1,4,10,14,29,57,1809,7,27,66,5,44,51,6,66,28,0,0,0,01000000000000
1,"","",,2015,74,B,134777,130909,14634,8,1,16509,1896,11.5,2506.9,3,22,25,32,43,1895,9,41,49,10,45,43,5,59,35,9,53,37,01000000000000
1,"","",,2015,74,B,134777,130909,14634,8,2,16509,1935,11.7,2472.8,5,10,15,21,64,1933,8,23,68,6,48,46,6,41,53,0,0,0,01000000000000
1,"","",,2015,74,B,134777,130909,14634,11,2,15793,1567,9.9,2489.8,3,8,11,20,68,1557,7,23,69,3,41,54,4,52,44,0,0,0,01000000000000
1,"","",,2015,74,B,134777,130909,14634,11,1,15793,1536,9.7,2533.9,10,25,34,27,37,1519,18,46,35,14,42,41,10,55,33,17,52,29,01000000000000
1,"","",,2015,74,B,134777,130909,14634,13,1,118342,12385,10.5,"",6,18,24,26,50,12357,9,37,53,9,40,49,6,57,36,10,50,38,01000000000000
1,"","",,2015,74,B,134777,130909,14634,13,2,118342,12520,10.6,"",4,11,15,26,59,12497,8,25,67,5,38,56,6,45,49,0,0,0,01000000000000
1,"","",,2015,75,B,134777,130909,431,3,2,17687,75,0.4,2400.9,5,20,25,40,35,75,9,52,39,8,55,37,16,53,31,0,0,0,01000000000000
1,"","",,2015,75,B,134777,130909,431,3,1,17687,74,0.4,2386.7,8,23,31,31,38,74,9,53,38,7,43,50,11,61,28,14,51,35,01000000000000
1,"","",,2015,75,B,134777,130909,431,4,1,17437,71,0.4,2436.2,14,25,39,13,48,71,15,41,44,11,51,38,7,66,27,15,52,32,01000000000000
1,"","",,2015,75,B,134777,130909,431,4,2,17437,72,0.4,2448.4,11,21,32,35,33,72,17,31,53,17,43,40,21,39,40,0,0,0,01000000000000
1,"","",,2015,75,B,134777,130909,431,5,2,17365,52,0.3,2466.0,15,10,25,25,50,52,15,25,60,15,27,58,10,40,50,0,0,0,01000000000000
1,"","",,2015,75,B,134777,130909,431,5,1,17365,51,0.3,2478.1,20,24,43,14,43,51,22,31,47,20,41,39,16,49,35,24,59,18,01000000000000
1,"","",,2015,75,B,134777,130909,431,6,1,17089,46,0.3,2497.7,9,24,33,33,35,46,7,46,48,20,46,35,9,67,24,20,65,15,01000000000000
1,"","",,2015,75,B,134777,130909,431,6,2,17089,47,0.3,2486.6,6,21,28,32,38,46,15,30,54,9,52,39,13,41,46,0,0,0,01000000000000
1,"","",,2015,75,B,134777,130909,431,7,2,16462,47,0.3,2528.6,6,17,23,51,26,47,13,49,38,6,68,26,9,66,26,0,0,0,01000000000000
1,"","",,2015,75,B,134777,130909,431,7,1,16462,46,0.3,2539.0,9,35,43,35,22,46,11,59,30,28,41,30,9,72,20,15,65,20,01000000000000
1,"","",,2015,75,B,134777,130909,431,8,1,16509,43,0.3,2507.8,5,19,23,37,40,43,9,47,42,0,56,42,5,74,21,7,63,28,01000000000000
1,"","",,2015,75,B,134777,130909,431,8,2,16509,44,0.3,2498.9,9,11,20,27,52,44,11,32,57,7,52,41,11,39,50,0,0,0,01000000000000
1,"","",,2015,75,B,134777,130909,431,11,2,15793,46,0.3,2543.8,9,22,30,13,54,45,20,24,56,16,44,38,13,60,27,0,0,0,01000000000000
1,"","",,2015,75,B,134777,130909,431,11,1,15793,45,0.3,2576.4,27,18,44,29,24,44,32,39,27,30,39,27,23,45,27,36,36,23,01000000000000
1,"","",,2015,75,B,134777,130909,431,13,1,118342,376,0.3,"",13,24,37,26,37,375,15,45,40,15,45,38,11,62,26,18,55,26,01000000000000
1,"","",,2015,75,B,134777,130909,431,13,2,118342,383,0.3,"",9,18,27,33,40,381,14,36,50,11,49,40,14,48,38,0,0,0,01000000000000
1,"","",,2015,76,B,134777,130909,30667,3,1,17687,4008,22.7,2472.3,46,24,70,17,13,4007,43,41,16,44,41,14,34,57,8,41,46,13,01000000000000
1,"","",,2015,76,B,134777,130909,30667,3,2,17687,4057,22.9,2493.6,49,29,78,13,8,4056,64,25,11,55,35,11,54,38,7,0,0,0,01000000000000
1,"","",,2015,76,B,134777,130909,30667,4,2,17437,4093,23.5,2537.3,49,26,75,18,6,4093,61,25,13,50,39,11,54,34,12,0,0,0,01000000000000
1,"","",,2015,76,B,134777,130909,30667,4,1,17437,4041,23.2,2519.6,49,23,72,14,13,4041,43,42,15,46,41,12,36,56,9,40,44,11,01000000000000
1,"","",,2015,76,B,134777,130909,30667,5,1,17365,4056,23.4,2564.3,47,31,78,11,11,4056,46,40,14,55,33,11,36,55,9,56,37,6,01000000000000
1,"","",,2015,76,B,134777,130909,30667,5,2,17365,4120,23.7,2577.3,55,19,74,16,10,4119,62,24,14,51,35,15,48,40,12,0,0,0,01000000000000
1,"","",,2015,76,B,134777,130909,30667,6,2,17089,3953,23.1,2607.9,55,19,74,17,9,3952,60,26,14,50,38,11,52,38,10,0,0,0,01000000000000
1,"","",,2015,76,B,134777,130909,30667,6,1,17089,3918,22.9,2589.2,42,34,76,15,8,3918,41,43,15,53,36,10,30,63,6,52,42,6,01000000000000
1,"","",,2015,76,B,134777,130909,30667,7,1,16462,3743,22.7,2616.6,42,37,79,12,9,3741,46,40,14,61,31,8,29,63,8,54,39,7,01000000000000
1,"","",,2015,76,B,134777,130909,30667,7,2,16462,3804,23.1,2635.8,55,22,77,14,8,3803,66,22,12,57,33,10,56,39,5,0,0,0,01000000000000
1,"","",,2015,76,B,134777,130909,30667,8,2,16509,3617,21.9,2664.2,61,16,77,13,10,3617,66,21,13,59,32,9,58,34,8,0,0,0,01000000000000
1,"","",,2015,76,B,134777,130909,30667,8,1,16509,3559,21.6,2634.7,40,40,80,13,7,3558,51,39,10,54,36,9,31,62,7,50,43,7,01000000000000
1,"","",,2015,76,B,134777,130909,30667,11,1,15793,3304,20.9,2664.8,51,28,79,12,8,3301,55,35,9,62,29,8,35,55,9,56,36,6,01000000000000
1,"","",,2015,76,B,134777,130909,30667,11,2,15793,3296,20.9,2689.1,47,23,70,16,14,3294,60,24,15,48,38,13,51,40,8,0,0,0,01000000000000
1,"","",,2015,76,B,134777,130909,30667,13,2,118342,26940,22.8,"",53,22,75,15,9,26934,63,24,13,53,36,11,53,38,9,0,0,0,01000000000000
1,"","",,2015,76,B,134777,130909,30667,13,1,118342,26629,22.5,"",45,31,76,14,10,26622,46,40,14,53,36,11,33,59,8,50,41,8,01000000000000
1,"","",,2015,77,B,134777,130909,9025,3,2,17687,1073,6.1,2441.0,19,37,56,27,17,1073,34,41,25,29,49,21,28,56,16,0,0,0,01000000000000
1,"","",,2015,77,B,134777,130909,9025,3,1,17687,1072,6.1,2431.7,24,29,52,26,21,1071,23,51,26,26,50,24,18,69,13,24,56,20,01000000000000
1,"","",,2015,77,B,134777,130909,9025,4,1,17437,1121,6.4,2476.8,28,26,54,22,24,1121,24,49,27,30,49,21,19,66,15,24,52,20,01000000000000
1,"","",,2015,77,B,134777,130909,9025,4,2,17437,1124,6.4,2479.8,18,32,50,33,17,1124,31,37,32,23,51,26,26,47,27,0,0,0,01000000000000
1,"","",,2015,77,B,134777,130909,9025,5,2,17365,1122,6.5,2514.9,24,21,45,31,24,1122,30,34,35,24,47,30,23,49,28,0,0,0,01000000000000
1,"","",,2015,77,B,134777,130909,9025,5,1,17365,1119,6.4,2522.1,26,34,60,22,18,1119,26,49,25,37,44,19,20,64,16,39,50,11,01000000000000
1,"","",,2015,77,B,134777,130909,9025,6,1,17089,1109,6.5,2544.1,19,39,58,28,14,1109,20,55,25,31,52,17,15,74,11,32,57,11,01000000000000
1,"","",,2015,77,B,134777,130909,9025,6,2,17089,1113,6.5,2540.6,21,27,48,32,20,1113,28,41,31,21,57,22,23,56,21,0,0,0,01000000000000
1,"","",,2015,77,B,134777,130909,9025,7,2,16462,1089,6.6,2560.0,20,29,49,34,18,1089,30,44,26,23,56,21,24,66,9,0,0,0,01000000000000
1,"","",,2015,77,B,134777,130909,9025,7,1,16462,1079,6.6,2570.5,17,45,62,24,14,1078,25,51,23,39,49,12,16,68,15,31,56,12,01000000000000
1,"","",,2015,77,B,134777,130909,9025,8,1,16509,1097,6.6,2582.9,14,46,60,27,13,1096,26,54,20,31,53,16,15,72,13,30,56,13,01000000000000
1,"","",,2015,77,B,134777,130909,9025,8,2,16509,1110,6.7,2575.4,25,20,45,30,25,1109,31,37,32,25,55,19,26,54,20,0,0,0,01000000000000
1,"","",,2015,77,B,134777,130909,9025,11,2,15793,1081,6.8,2600.8,15,28,43,28,29,1080,28,39,32,20,54,25,20,62,17,0,0,0,01000000000000
1,"","",,2015,77,B,134777,130909,9025,11,1,15793,1090,6.9,2627.3,31,40,72,18,10,1087,37,51,11,46,41,10,22,65,11,45,45,8,01000000000000
1,"","",,2015,77,B,134777,130909,9025,13,1,118342,7687,6.5,"",23,37,60,24,16,7681,26,52,22,34,48,17,18,68,13,32,53,14,01000000000000
1,"","",,2015,77,B,134777,130909,9025,13,2,118342,7712,6.5,"",20,28,48,31,21,7710,30,39,30,24,53,24,24,56,20,0,0,0,01000000000000
1,"","",,2015,78,B,134777,130909,42749,3,1,17687,5876,33.2,2373.3,8,15,24,27,49,5874,10,37,53,8,42,50,9,58,33,9,49,41,01000000000000
1,"","",,2015,78,B,134777,130909,42749,3,2,17687,5921,33.5,2390.1,6,20,26,30,44,5919,13,33,53,12,43,46,10,58,32,0,0,0,01000000000000
1,"","",,2015,78,B,134777,130909,42749,4,1,17437,5764,33.1,2415.4,9,16,25,23,52,5762,9,40,51,9,44,46,8,60,31,10,48,38,01000000000000
1,"","",,2015,78,B,134777,130909,42749,4,2,17437,5816,33.4,2428.8,5,17,22,37,42,5814,11,29,60,9,44,47,9,40,51,0,0,0,01000000000000
1,"","",,2015,78,B,134777,130909,42749,5,2,17365,5206,30.0,2455.6,7,12,19,30,51,5203,10,28,62,8,36,57,7,43,50,0,0,0,01000000000000
1,"","",,2015,78,B,134777,130909,42749,5,1,17365,5182,29.8,2458.1,8,23,31,24,44,5180,12,40,49,13,42,44,8,60,32,16,57,27,01000000000000
1,"","",,2015,78,B,134777,130909,42749,6,1,17089,5436,31.8,2480.4,6,23,28,31,40,5423,8,41,50,11,45,43,8,65,26,14,61,25,01000000000000
1,"","",,2015,78,B,134777,130909,42749,6,2,17089,5526,32.3,2470.6,6,13,19,32,48,5520,10,29,61,7,45,48,7,50,43,0,0,0,01000000000000
1,"","",,2015,78,B,134777,130909,42749,7,1,16462,5158,31.3,2502.5,5,25,30,28,42,5158,8,42,49,14,48,38,7,60,32,13,54,32,01000000000000
1,"","",,2015,78,B,134777,130909,42749,7,2,16462,5241,31.8,2487.4,6,15,22,31,48,5239,11,30,58,9,46,45,9,68,23,0,0,0,01000000000000
1,"","",,2015,78,B,134777,130909,42749,8,1,16509,4917,29.8,2524.3,6,26,32,34,34,4916,13,45,42,12,51,36,7,62,30,13,57,29,01000000000000
1,"","",,2015,78,B,134777,130909,42749,8,2,16509,5065,30.7,2498.2,7,13,20,27,53,5058,11,30,58,8,52,40,8,53,38,0,0,0,01000000000000
1,"","",,2015,78,B,134777,130909,42749,11,2,15793,4325,27.4,2522.2,5,14,18,24,57,4314,10,30,59,7,47,44,7,57,35,0,0,0,01000000000000
1,"","",,2015,78,B,134777,130909,42749,11,1,15793,4299,27.2,2562.9,14,31,45,28,26,4271,21,52,25,22,45,30,12,61,25,25,53,20,01000000000000
1,"","",,2015,78,B,134777,130909,42749,13,1,118342,36632,31.0,"",8,22,30,28,42,36584,11,42,46,12,45,42,8,61,30,14,54,31,01000000000000
1,"","",,2015,78,B,134777,130909,42749,13,2,118342,37100,31.3,"",6,15,21,30,48,37067,11,30,59,8,45,47,8,53,39,0,0,0,01000000000000
1,"","",,2015,79,B,134777,130909,1481,3,2,17687,196,1.1,2388.0,3,19,22,36,42,196,13,35,52,7,41,52,7,53,40,0,0,0,01000000000000
1,"","",,2015,79,B,134777,130909,1481,3,1,17687,195,1.1,2372.1,4,18,22,30,48,195,4,42,55,7,47,46,4,61,35,7,50,43,01000000000000
1,"","",,2015,79,B,134777,130909,1481,4,1,17437,187,1.1,2428.4,12,17,29,25,47,187,12,41,48,14,47,39,11,61,27,14,47,38,01000000000000
